SAMPLE_ID	SAMPLE_NAME	GENE_NAME	REGULATION	Z_SCORE	ID_STUDY																																											
1338067	TCGA-27-2523-01	AADACL4	normal	-0.114	329																																											
1338079	TCGA-28-1753-01	AADACL4	normal	-0.114	329																																											
1910168	TCGA-06-0125-01	AADACL4	normal	-0.114	329																																											
1910184	TCGA-06-0157-01	AADACL4	normal	-0.114	329																																											
1910190	TCGA-06-0174-01	AADACL4	normal	-0.114	329																																											
1910206	TCGA-06-0211-01	AADACL4	normal	-0.114	329																																											
1910247	TCGA-12-0618-01	AADACL4	normal	-0.114	329																																											
2120252	TCGA-06-0190-02	AADACL4	normal	-0.114	329																																											
2120253	TCGA-06-0210-02	AADACL4	normal	-0.114	329																																											
2120305	TCGA-19-2624-01	AADACL4	normal	-0.114	329																																											
2120346	TCGA-32-1980-01	AADACL4	normal	-0.114	329																																											
2120378	TCGA-76-4926-01	AADACL4	normal	-0.114	329																																											
2178065	TCGA-06-0152-02	AADACL4	normal	-0.114	329																																											
1337858	TCGA-06-0744-01	AAMDC	normal	0.117	329																																											
1337859	TCGA-06-0745-01	AAMDC	normal	1.441	329																																											
1338057	TCGA-27-1832-01	AAMDC	normal	0.525	329																																											
1338067	TCGA-27-2523-01	AAMDC	normal	-0.768	329																																											
1910168	TCGA-06-0125-01	AAMDC	normal	-0.814	329																																											
1910184	TCGA-06-0157-01	AAMDC	normal	-0.848	329																																											
1910190	TCGA-06-0174-01	AAMDC	normal	-1.527	329																																											
1910247	TCGA-12-0618-01	AAMDC	normal	-1.466	329																																											
2120252	TCGA-06-0190-02	AAMDC	normal	-0.914	329																																											
2120305	TCGA-19-2624-01	AAMDC	normal	-0.164	329																																											
2120378	TCGA-76-4926-01	AAMDC	normal	0.19	329																																											
2178065	TCGA-06-0152-02	AAMDC	normal	-1.105	329																																											
1337858	TCGA-06-0744-01	ABCB10	normal	-0.52	329																																											
1337859	TCGA-06-0745-01	ABCB10	normal	-0.724	329																																											
1338022	TCGA-16-0846-01	ABCB10	normal	-1.429	329																																											
1338057	TCGA-27-1832-01	ABCB10	normal	-0.904	329																																											
1338067	TCGA-27-2523-01	ABCB10	normal	-0.572	329																																											
1338079	TCGA-28-1753-01	ABCB10	normal	-0.643	329																																											
1910184	TCGA-06-0157-01	ABCB10	normal	-0.715	329																																											
1910190	TCGA-06-0174-01	ABCB10	normal	-0.451	329																																											
1910206	TCGA-06-0211-01	ABCB10	normal	-0.96	329																																											
1910247	TCGA-12-0618-01	ABCB10	normal	-0.945	329																																											
2120252	TCGA-06-0190-02	ABCB10	over	2.106	329																																											
2120253	TCGA-06-0210-02	ABCB10	normal	-0.126	329																																											
2120305	TCGA-19-2624-01	ABCB10	normal	-0.111	329																																											
2120378	TCGA-76-4926-01	ABCB10	normal	0.189	329																																											
2178065	TCGA-06-0152-02	ABCB10	normal	-0.145	329																																											
1337858	TCGA-06-0744-01	ABCC6	normal	-0.78	329																																											
1337859	TCGA-06-0745-01	ABCC6	normal	-0.472	329																																											
1338057	TCGA-27-1832-01	ABCC6	over	3.967	329																																											
1338079	TCGA-28-1753-01	ABCC6	normal	-0.649	329																																											
1910168	TCGA-06-0125-01	ABCC6	normal	-0.37	329																																											
1910184	TCGA-06-0157-01	ABCC6	normal	0.991	329																																											
1910190	TCGA-06-0174-01	ABCC6	normal	-0.88	329																																											
1910206	TCGA-06-0211-01	ABCC6	normal	-0.567	329																																											
2120252	TCGA-06-0190-02	ABCC6	normal	-0.544	329																																											
2120253	TCGA-06-0210-02	ABCC6	normal	-0.377	329																																											
2120305	TCGA-19-2624-01	ABCC6	normal	-0.567	329																																											
2120346	TCGA-32-1980-01	ABCC6	normal	-0.01	329																																											
2120378	TCGA-76-4926-01	ABCC6	normal	-0.073	329																																											
2178065	TCGA-06-0152-02	ABCC6	normal	-0.526	329																																											
1337858	TCGA-06-0744-01	ABT1	normal	1.643	329																																											
1337859	TCGA-06-0745-01	ABT1	normal	0.64	329																																											
1338022	TCGA-16-0846-01	ABT1	normal	-0.516	329																																											
1338067	TCGA-27-2523-01	ABT1	normal	0.592	329																																											
1338079	TCGA-28-1753-01	ABT1	normal	-0.647	329																																											
1910168	TCGA-06-0125-01	ABT1	normal	-0.866	329																																											
1910184	TCGA-06-0157-01	ABT1	normal	-0.495	329																																											
1910190	TCGA-06-0174-01	ABT1	normal	-0.284	329																																											
1910206	TCGA-06-0211-01	ABT1	normal	-0.236	329																																											
1910247	TCGA-12-0618-01	ABT1	normal	-0.66	329																																											
2120252	TCGA-06-0190-02	ABT1	normal	-0.314	329																																											
2120305	TCGA-19-2624-01	ABT1	normal	-0.434	329																																											
2120346	TCGA-32-1980-01	ABT1	normal	-0.799	329																																											
2178065	TCGA-06-0152-02	ABT1	normal	-0.9	329																																											
1337858	TCGA-06-0744-01	AC012476.1	normal	0.939	329																																											
1337859	TCGA-06-0745-01	AC012476.1	normal	-0.213	329																																											
1338022	TCGA-16-0846-01	AC012476.1	normal	-1.114	329																																											
1338057	TCGA-27-1832-01	AC012476.1	normal	-0.624	329																																											
1338067	TCGA-27-2523-01	AC012476.1	normal	1.216	329																																											
1338079	TCGA-28-1753-01	AC012476.1	normal	0.747	329																																											
1910168	TCGA-06-0125-01	AC012476.1	normal	0.108	329																																											
1910184	TCGA-06-0157-01	AC012476.1	over	2.341	329																																											
1910190	TCGA-06-0174-01	AC012476.1	normal	1.521	329																																											
1910206	TCGA-06-0211-01	AC012476.1	normal	0.272	329																																											
1910247	TCGA-12-0618-01	AC012476.1	normal	-0.555	329																																											
2120252	TCGA-06-0190-02	AC012476.1	normal	0.402	329																																											
2120305	TCGA-19-2624-01	AC012476.1	normal	1.391	329																																											
2120346	TCGA-32-1980-01	AC012476.1	normal	-0.992	329																																											
2120378	TCGA-76-4926-01	AC012476.1	normal	-0.072	329																																											
2178065	TCGA-06-0152-02	AC012476.1	normal	0.428	329																																											
1337859	TCGA-06-0745-01	AC093512.2	over	2.2	329																																											
1338022	TCGA-16-0846-01	AC093512.2	normal	-0.431	329																																											
1338057	TCGA-27-1832-01	AC093512.2	normal	1.138	329																																											
1338067	TCGA-27-2523-01	AC093512.2	normal	0.119	329																																											
1338079	TCGA-28-1753-01	AC093512.2	normal	-1.08	329																																											
1910168	TCGA-06-0125-01	AC093512.2	normal	-1.279	329																																											
1910190	TCGA-06-0174-01	AC093512.2	normal	0.509	329																																											
1910247	TCGA-12-0618-01	AC093512.2	normal	0.669	329																																											
2120252	TCGA-06-0190-02	AC093512.2	normal	0.603	329																																											
2120253	TCGA-06-0210-02	AC093512.2	normal	-0.196	329																																											
2120305	TCGA-19-2624-01	AC093512.2	normal	-0.851	329																																											
2120346	TCGA-32-1980-01	AC093512.2	normal	1.537	329																																											
2120378	TCGA-76-4926-01	AC093512.2	normal	-1.252	329																																											
2178065	TCGA-06-0152-02	AC093512.2	normal	-0.972	329																																											
1337858	TCGA-06-0744-01	ACAD10	normal	0.11	329																																											
1337859	TCGA-06-0745-01	ACAD10	normal	0.191	329																																											
1338057	TCGA-27-1832-01	ACAD10	normal	1.406	329																																											
1338067	TCGA-27-2523-01	ACAD10	normal	-0.582	329																																											
1338079	TCGA-28-1753-01	ACAD10	normal	-0.27	329																																											
1910168	TCGA-06-0125-01	ACAD10	normal	0.331	329																																											
1910190	TCGA-06-0174-01	ACAD10	normal	-0.606	329																																											
1910206	TCGA-06-0211-01	ACAD10	normal	-0.11	329																																											
1910247	TCGA-12-0618-01	ACAD10	normal	-0.033	329																																											
2120253	TCGA-06-0210-02	ACAD10	normal	-0.255	329																																											
2120305	TCGA-19-2624-01	ACAD10	normal	0.956	329																																											
2120346	TCGA-32-1980-01	ACAD10	normal	-0.504	329																																											
2120378	TCGA-76-4926-01	ACAD10	normal	0.663	329																																											
2178065	TCGA-06-0152-02	ACAD10	normal	0.632	329																																											
1337858	TCGA-06-0744-01	ACADS	normal	0.951	329																																											
1337859	TCGA-06-0745-01	ACADS	normal	1.32	329																																											
1338022	TCGA-16-0846-01	ACADS	normal	0.355	329																																											
1338067	TCGA-27-2523-01	ACADS	normal	-0.231	329																																											
1338079	TCGA-28-1753-01	ACADS	normal	-0.585	329																																											
1910184	TCGA-06-0157-01	ACADS	normal	0.281	329																																											
1910206	TCGA-06-0211-01	ACADS	normal	-0.807	329																																											
1910247	TCGA-12-0618-01	ACADS	normal	-0.358	329																																											
2120252	TCGA-06-0190-02	ACADS	normal	-1.075	329																																											
2120253	TCGA-06-0210-02	ACADS	normal	-0.376	329																																											
2120346	TCGA-32-1980-01	ACADS	normal	0.335	329																																											
2178065	TCGA-06-0152-02	ACADS	normal	-1.218	329																																											
1337858	TCGA-06-0744-01	ACAN	normal	-0.431	329																																											
1337859	TCGA-06-0745-01	ACAN	normal	-0.247	329																																											
1338022	TCGA-16-0846-01	ACAN	normal	-0.081	329																																											
1338057	TCGA-27-1832-01	ACAN	normal	-0.31	329																																											
1338079	TCGA-28-1753-01	ACAN	normal	0.356	329																																											
1910168	TCGA-06-0125-01	ACAN	normal	-0.11	329																																											
1910184	TCGA-06-0157-01	ACAN	normal	-0.427	329																																											
1910190	TCGA-06-0174-01	ACAN	normal	0.92	329																																											
1910206	TCGA-06-0211-01	ACAN	normal	-0.392	329																																											
1910247	TCGA-12-0618-01	ACAN	normal	-0.377	329																																											
2120252	TCGA-06-0190-02	ACAN	normal	1.116	329																																											
2120253	TCGA-06-0210-02	ACAN	normal	0.874	329																																											
2120305	TCGA-19-2624-01	ACAN	normal	-0.406	329																																											
2120346	TCGA-32-1980-01	ACAN	normal	-0.164	329																																											
2120378	TCGA-76-4926-01	ACAN	normal	-0.439	329																																											
1337858	TCGA-06-0744-01	ACSBG1	normal	1.281	329																																											
1337859	TCGA-06-0745-01	ACSBG1	normal	-0.702	329																																											
1338022	TCGA-16-0846-01	ACSBG1	normal	0.447	329																																											
1338057	TCGA-27-1832-01	ACSBG1	normal	-1.1	329																																											
1338067	TCGA-27-2523-01	ACSBG1	normal	-0.37	329																																											
1338079	TCGA-28-1753-01	ACSBG1	normal	0.293	329																																											
1910168	TCGA-06-0125-01	ACSBG1	normal	0.727	329																																											
1910184	TCGA-06-0157-01	ACSBG1	normal	-0.557	329																																											
1910190	TCGA-06-0174-01	ACSBG1	normal	-1.078	329																																											
1910206	TCGA-06-0211-01	ACSBG1	normal	0.921	329																																											
1910247	TCGA-12-0618-01	ACSBG1	normal	-0.924	329																																											
2120253	TCGA-06-0210-02	ACSBG1	normal	-0.705	329																																											
2120305	TCGA-19-2624-01	ACSBG1	normal	-0.899	329																																											
2120346	TCGA-32-1980-01	ACSBG1	normal	0.04	329																																											
2120378	TCGA-76-4926-01	ACSBG1	normal	-0.446	329																																											
2178065	TCGA-06-0152-02	ACSBG1	normal	-0.026	329																																											
1337858	TCGA-06-0744-01	ACTG2	normal	-0.492	329																																											
1338022	TCGA-16-0846-01	ACTG2	normal	-0.648	329																																											
1338057	TCGA-27-1832-01	ACTG2	normal	-0.018	329																																											
1910168	TCGA-06-0125-01	ACTG2	normal	-0.04	329																																											
1910184	TCGA-06-0157-01	ACTG2	normal	-0.579	329																																											
1910190	TCGA-06-0174-01	ACTG2	normal	0.294	329																																											
1910206	TCGA-06-0211-01	ACTG2	normal	-0.35	329																																											
2120252	TCGA-06-0190-02	ACTG2	over	29.127	329																																											
2120253	TCGA-06-0210-02	ACTG2	over	2.405	329																																											
2120305	TCGA-19-2624-01	ACTG2	normal	-0.62	329																																											
2120346	TCGA-32-1980-01	ACTG2	normal	-0.384	329																																											
2178065	TCGA-06-0152-02	ACTG2	normal	0.104	329																																											
1337858	TCGA-06-0744-01	ACVR1B	normal	-0.91	329																																											
1337859	TCGA-06-0745-01	ACVR1B	normal	-0.36	329																																											
1338022	TCGA-16-0846-01	ACVR1B	normal	0.44	329																																											
1338067	TCGA-27-2523-01	ACVR1B	normal	0.067	329																																											
1910190	TCGA-06-0174-01	ACVR1B	normal	1.336	329																																											
1910206	TCGA-06-0211-01	ACVR1B	normal	-0.061	329																																											
1910247	TCGA-12-0618-01	ACVR1B	over	3.335	329																																											
2120252	TCGA-06-0190-02	ACVR1B	normal	-1.574	329																																											
2120253	TCGA-06-0210-02	ACVR1B	normal	0.227	329																																											
2120305	TCGA-19-2624-01	ACVR1B	normal	0.738	329																																											
2120346	TCGA-32-1980-01	ACVR1B	over	2.147	329																																											
2120378	TCGA-76-4926-01	ACVR1B	normal	0.78	329																																											
2178065	TCGA-06-0152-02	ACVR1B	normal	0.065	329																																											
1337858	TCGA-06-0744-01	ACY3	normal	-0.415	329																																											
1337859	TCGA-06-0745-01	ACY3	normal	-0.411	329																																											
1338022	TCGA-16-0846-01	ACY3	normal	0.477	329																																											
1338057	TCGA-27-1832-01	ACY3	over	2.079	329																																											
1338067	TCGA-27-2523-01	ACY3	normal	-0.298	329																																											
1338079	TCGA-28-1753-01	ACY3	normal	-0.613	329																																											
1910184	TCGA-06-0157-01	ACY3	normal	0.302	329																																											
1910190	TCGA-06-0174-01	ACY3	normal	-0.848	329																																											
1910206	TCGA-06-0211-01	ACY3	normal	-0.79	329																																											
1910247	TCGA-12-0618-01	ACY3	normal	-0.773	329																																											
2120252	TCGA-06-0190-02	ACY3	normal	-0.708	329																																											
2120253	TCGA-06-0210-02	ACY3	normal	0.249	329																																											
2120305	TCGA-19-2624-01	ACY3	normal	-0.717	329																																											
2120346	TCGA-32-1980-01	ACY3	normal	-0.533	329																																											
2120378	TCGA-76-4926-01	ACY3	normal	-0.014	329																																											
1337858	TCGA-06-0744-01	ADAL	normal	-1.135	329																																											
1337859	TCGA-06-0745-01	ADAL	normal	-0.478	329																																											
1338022	TCGA-16-0846-01	ADAL	normal	-1.549	329																																											
1338057	TCGA-27-1832-01	ADAL	normal	1.837	329																																											
1338067	TCGA-27-2523-01	ADAL	normal	-0.707	329																																											
1338079	TCGA-28-1753-01	ADAL	normal	-0.967	329																																											
1910168	TCGA-06-0125-01	ADAL	normal	-0.563	329																																											
1910190	TCGA-06-0174-01	ADAL	normal	-0.742	329																																											
1910206	TCGA-06-0211-01	ADAL	normal	-0.347	329																																											
2120252	TCGA-06-0190-02	ADAL	normal	-1.574	329																																											
2120253	TCGA-06-0210-02	ADAL	normal	-1.002	329																																											
2120305	TCGA-19-2624-01	ADAL	normal	0.786	329																																											
2120346	TCGA-32-1980-01	ADAL	normal	-0.61	329																																											
1337858	TCGA-06-0744-01	ADAM19	normal	-0.059	329																																											
1337859	TCGA-06-0745-01	ADAM19	normal	-0.474	329																																											
1338022	TCGA-16-0846-01	ADAM19	normal	-0.625	329																																											
1338057	TCGA-27-1832-01	ADAM19	normal	-0.631	329																																											
1338067	TCGA-27-2523-01	ADAM19	normal	-0.163	329																																											
1338079	TCGA-28-1753-01	ADAM19	normal	0.726	329																																											
1910184	TCGA-06-0157-01	ADAM19	normal	0.512	329																																											
1910190	TCGA-06-0174-01	ADAM19	normal	-0.49	329																																											
1910206	TCGA-06-0211-01	ADAM19	normal	1.105	329																																											
1910247	TCGA-12-0618-01	ADAM19	normal	-0.529	329																																											
2120252	TCGA-06-0190-02	ADAM19	normal	0.779	329																																											
2120253	TCGA-06-0210-02	ADAM19	normal	-0.291	329																																											
2120378	TCGA-76-4926-01	ADAM19	normal	-0.461	329																																											
2178065	TCGA-06-0152-02	ADAM19	normal	0.537	329																																											
1337858	TCGA-06-0744-01	ADCY2	normal	-0.519	329																																											
1337859	TCGA-06-0745-01	ADCY2	normal	-0.745	329																																											
1338022	TCGA-16-0846-01	ADCY2	normal	0.385	329																																											
1338057	TCGA-27-1832-01	ADCY2	normal	-0.479	329																																											
1338067	TCGA-27-2523-01	ADCY2	normal	-1.032	329																																											
1338079	TCGA-28-1753-01	ADCY2	normal	-1.008	329																																											
1910168	TCGA-06-0125-01	ADCY2	normal	-0.961	329																																											
1910184	TCGA-06-0157-01	ADCY2	normal	0.891	329																																											
1910190	TCGA-06-0174-01	ADCY2	normal	-0.851	329																																											
1910206	TCGA-06-0211-01	ADCY2	normal	-0.651	329																																											
1910247	TCGA-12-0618-01	ADCY2	normal	0.255	329																																											
2120252	TCGA-06-0190-02	ADCY2	normal	-0.903	329																																											
2120253	TCGA-06-0210-02	ADCY2	normal	0.945	329																																											
2120305	TCGA-19-2624-01	ADCY2	normal	-0.366	329																																											
2120346	TCGA-32-1980-01	ADCY2	normal	0.224	329																																											
2120378	TCGA-76-4926-01	ADCY2	normal	0.928	329																																											
2178065	TCGA-06-0152-02	ADCY2	normal	-0.792	329																																											
1337858	TCGA-06-0744-01	ADCYAP1	normal	-0.083	329																																											
1337859	TCGA-06-0745-01	ADCYAP1	normal	-0.354	329																																											
1338022	TCGA-16-0846-01	ADCYAP1	normal	-0.442	329																																											
1338057	TCGA-27-1832-01	ADCYAP1	normal	-0.724	329																																											
1338067	TCGA-27-2523-01	ADCYAP1	normal	-0.702	329																																											
1338079	TCGA-28-1753-01	ADCYAP1	normal	-0.327	329																																											
1910168	TCGA-06-0125-01	ADCYAP1	normal	-0.502	329																																											
1910184	TCGA-06-0157-01	ADCYAP1	normal	0.003	329																																											
1910190	TCGA-06-0174-01	ADCYAP1	normal	1.514	329																																											
1910206	TCGA-06-0211-01	ADCYAP1	normal	1.446	329																																											
1910247	TCGA-12-0618-01	ADCYAP1	normal	1.686	329																																											
2120252	TCGA-06-0190-02	ADCYAP1	normal	0.999	329																																											
2120305	TCGA-19-2624-01	ADCYAP1	normal	1.522	329																																											
2120346	TCGA-32-1980-01	ADCYAP1	normal	0.482	329																																											
2120378	TCGA-76-4926-01	ADCYAP1	normal	0.351	329																																											
2178065	TCGA-06-0152-02	ADCYAP1	over	2.582	329																																											
1337858	TCGA-06-0744-01	ADGRB2	normal	-0.641	329																																											
1337859	TCGA-06-0745-01	ADGRB2	normal	1.856	329																																											
1338067	TCGA-27-2523-01	ADGRB2	over	2.123	329																																											
1338079	TCGA-28-1753-01	ADGRB2	normal	0.452	329																																											
1910168	TCGA-06-0125-01	ADGRB2	normal	-0.216	329																																											
1910184	TCGA-06-0157-01	ADGRB2	normal	0.767	329																																											
1910190	TCGA-06-0174-01	ADGRB2	normal	-0.582	329																																											
1910206	TCGA-06-0211-01	ADGRB2	normal	0.042	329																																											
2120252	TCGA-06-0190-02	ADGRB2	normal	-1.697	329																																											
2120253	TCGA-06-0210-02	ADGRB2	normal	-0.261	329																																											
2120305	TCGA-19-2624-01	ADGRB2	over	2.006	329																																											
2120378	TCGA-76-4926-01	ADGRB2	normal	-0.29	329																																											
2178065	TCGA-06-0152-02	ADGRB2	normal	0.759	329																																											
1337858	TCGA-06-0744-01	ADGRB3	normal	0.767	329																																											
1337859	TCGA-06-0745-01	ADGRB3	normal	0.076	329																																											
1338022	TCGA-16-0846-01	ADGRB3	normal	-0.075	329																																											
1338057	TCGA-27-1832-01	ADGRB3	under	-2.445	329																																											
1338067	TCGA-27-2523-01	ADGRB3	normal	0.369	329																																											
1338079	TCGA-28-1753-01	ADGRB3	normal	0.485	329																																											
1910168	TCGA-06-0125-01	ADGRB3	normal	0.734	329																																											
1910184	TCGA-06-0157-01	ADGRB3	normal	0.681	329																																											
1910190	TCGA-06-0174-01	ADGRB3	normal	1.577	329																																											
2120252	TCGA-06-0190-02	ADGRB3	normal	-1.562	329																																											
2120253	TCGA-06-0210-02	ADGRB3	normal	-1.206	329																																											
2120305	TCGA-19-2624-01	ADGRB3	normal	0.437	329																																											
2120346	TCGA-32-1980-01	ADGRB3	normal	0.791	329																																											
2120378	TCGA-76-4926-01	ADGRB3	normal	0.561	329																																											
2178065	TCGA-06-0152-02	ADGRB3	normal	1.433	329																																											
1337858	TCGA-06-0744-01	ADGRG3	normal	-0.804	329																																											
1337859	TCGA-06-0745-01	ADGRG3	normal	0.047	329																																											
1338022	TCGA-16-0846-01	ADGRG3	normal	-0.646	329																																											
1338057	TCGA-27-1832-01	ADGRG3	normal	-0.292	329																																											
1338067	TCGA-27-2523-01	ADGRG3	normal	-0.864	329																																											
1910168	TCGA-06-0125-01	ADGRG3	normal	-0.765	329																																											
1910184	TCGA-06-0157-01	ADGRG3	normal	-0.828	329																																											
1910190	TCGA-06-0174-01	ADGRG3	normal	-0.812	329																																											
1910206	TCGA-06-0211-01	ADGRG3	normal	-0.055	329																																											
1910247	TCGA-12-0618-01	ADGRG3	normal	-0.685	329																																											
2120252	TCGA-06-0190-02	ADGRG3	normal	0.37	329																																											
2120378	TCGA-76-4926-01	ADGRG3	normal	-0.684	329																																											
1337858	TCGA-06-0744-01	ADRA1A	normal	-0.645	329																																											
1337859	TCGA-06-0745-01	ADRA1A	normal	-0.559	329																																											
1338022	TCGA-16-0846-01	ADRA1A	normal	0.59	329																																											
1338057	TCGA-27-1832-01	ADRA1A	normal	0.564	329																																											
1338067	TCGA-27-2523-01	ADRA1A	normal	-0.68	329																																											
1338079	TCGA-28-1753-01	ADRA1A	normal	-0.476	329																																											
1910184	TCGA-06-0157-01	ADRA1A	normal	0.529	329																																											
1910190	TCGA-06-0174-01	ADRA1A	normal	-0.313	329																																											
1910206	TCGA-06-0211-01	ADRA1A	normal	-0.654	329																																											
1910247	TCGA-12-0618-01	ADRA1A	normal	0.029	329																																											
2120252	TCGA-06-0190-02	ADRA1A	normal	0.425	329																																											
2120253	TCGA-06-0210-02	ADRA1A	normal	-0.126	329																																											
2120346	TCGA-32-1980-01	ADRA1A	normal	-0.025	329																																											
2120378	TCGA-76-4926-01	ADRA1A	normal	-0.486	329																																											
1337858	TCGA-06-0744-01	ADRA1B	normal	-0.417	329																																											
1337859	TCGA-06-0745-01	ADRA1B	normal	-0.026	329																																											
1338022	TCGA-16-0846-01	ADRA1B	normal	0.02	329																																											
1338057	TCGA-27-1832-01	ADRA1B	normal	0.051	329																																											
1338067	TCGA-27-2523-01	ADRA1B	normal	-0.393	329																																											
1338079	TCGA-28-1753-01	ADRA1B	normal	0.48	329																																											
1910168	TCGA-06-0125-01	ADRA1B	normal	-0.252	329																																											
1910190	TCGA-06-0174-01	ADRA1B	normal	-0.075	329																																											
1910206	TCGA-06-0211-01	ADRA1B	normal	-0.651	329																																											
1910247	TCGA-12-0618-01	ADRA1B	normal	0.493	329																																											
2120252	TCGA-06-0190-02	ADRA1B	normal	-0.337	329																																											
2120305	TCGA-19-2624-01	ADRA1B	normal	-0.475	329																																											
2120346	TCGA-32-1980-01	ADRA1B	over	4.108	329																																											
2120378	TCGA-76-4926-01	ADRA1B	normal	0.049	329																																											
1337858	TCGA-06-0744-01	AGA	normal	-1.072	329																																											
1337859	TCGA-06-0745-01	AGA	normal	-0.478	329																																											
1338022	TCGA-16-0846-01	AGA	normal	-0.237	329																																											
1338057	TCGA-27-1832-01	AGA	normal	1.311	329																																											
1338067	TCGA-27-2523-01	AGA	normal	-0.831	329																																											
1338079	TCGA-28-1753-01	AGA	normal	-1.465	329																																											
1910168	TCGA-06-0125-01	AGA	normal	-1.045	329																																											
1910184	TCGA-06-0157-01	AGA	normal	0.405	329																																											
1910190	TCGA-06-0174-01	AGA	normal	-1.545	329																																											
1910247	TCGA-12-0618-01	AGA	normal	-1.283	329																																											
2120252	TCGA-06-0190-02	AGA	normal	-0.112	329																																											
2120253	TCGA-06-0210-02	AGA	normal	-0.721	329																																											
2120305	TCGA-19-2624-01	AGA	normal	-1.72	329																																											
2120346	TCGA-32-1980-01	AGA	normal	-0.66	329																																											
2120378	TCGA-76-4926-01	AGA	normal	0.546	329																																											
2178065	TCGA-06-0152-02	AGA	normal	-0.861	329																																											
1337859	TCGA-06-0745-01	AGBL4	normal	-0.296	329																																											
1338067	TCGA-27-2523-01	AGBL4	normal	-0.505	329																																											
1910168	TCGA-06-0125-01	AGBL4	normal	-0.309	329																																											
1910184	TCGA-06-0157-01	AGBL4	normal	0.109	329																																											
1910206	TCGA-06-0211-01	AGBL4	normal	-0.369	329																																											
1910247	TCGA-12-0618-01	AGBL4	normal	-0.034	329																																											
2120252	TCGA-06-0190-02	AGBL4	normal	-0.549	329																																											
2120253	TCGA-06-0210-02	AGBL4	normal	-0.266	329																																											
2120305	TCGA-19-2624-01	AGBL4	normal	-0.267	329																																											
2120346	TCGA-32-1980-01	AGBL4	normal	1.52	329																																											
2120378	TCGA-76-4926-01	AGBL4	normal	0.638	329																																											
1337858	TCGA-06-0744-01	AGFG1	normal	-0.204	329																																											
1337859	TCGA-06-0745-01	AGFG1	normal	-0.434	329																																											
1338022	TCGA-16-0846-01	AGFG1	over	2.006	329																																											
1338057	TCGA-27-1832-01	AGFG1	normal	-1.049	329																																											
1338067	TCGA-27-2523-01	AGFG1	normal	-0.203	329																																											
